DATAFLOW,LAST UPDATE,freq,unit,airpol,src_crf,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
"ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,""Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)"",Agriculture,European Union - 27 countries (from 2020),2017,386106.83,"
"ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,""Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)"",Agriculture,European Union - 27 countries (from 2020),2018,383666.37,"
"ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,""Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)"",Agriculture,European Union - 27 countries (from 2020),2019,378414.57,"
"ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,""Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)"",Agriculture,European Union - 27 countries (from 2020),2020,379870.13,"
"ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,""Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)"",Agriculture,European Union - 27 countries (from 2020),2021,375996.09,"
"ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,""Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)"",Agriculture,European Union - 27 countries (from 2020),2022,365718.96,"
"ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,""Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)"",Agriculture,Hungary,1985,12019.51,"
"ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,""Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)"",Agriculture,Hungary,1986,11918.03,"
"ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,""Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)"",Agriculture,Hungary,1987,11975.73,"
"ESTAT:ENV_AIR_GGE(1.0),18/04/24 11:00:00,Annual,Thousand tonnes,""Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)"",Agriculture,Hungary,1988,11722.67,"
