eu_sdg,dimension,dimension_label,unit,unit_label,geo,geo_label,time,obs_value,obs_status
14_40,CST,Number of bathing sites i. coastal water,NR,Number,CZ,Czechia,2017,,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,CZ,Czechia,2018,,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,CZ,Czechia,2019,,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,CZ,Czechia,2020,,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,CZ,Czechia,2021,,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,CZ,Czechia,2022,,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,CZ,Czechia,2023,,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,DK,Denmark,2000,1102,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,DK,Denmark,2001,1106,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,DK,Denmark,2002,1110,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,DK,Denmark,2003,1122,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,DK,Denmark,2004,1122,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,DK,Denmark,2005,1134,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,DK,Denmark,2006,1138,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,DK,Denmark,2007,1155,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,DK,Denmark,2008,1143,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,DK,Denmark,2009,1086,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,DK,Denmark,2010,1053,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,DK,Denmark,2011,1011,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,DK,Denmark,2012,973,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,DK,Denmark,2013,923,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,DK,Denmark,2014,917,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,DK,Denmark,2015,918,
