eu_sdg,dimension,dimension_label,unit,unit_label,geo,geo_label,time,obs_value,obs_status
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,CZ,Czechia,2009,63.1,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,CZ,Czechia,2010,53.2,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,CZ,Czechia,2011,63.4,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,CZ,Czechia,2012,75,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,CZ,Czechia,2013,76.4,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,CZ,Czechia,2014,76.3,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,CZ,Czechia,2015,79.1,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,CZ,Czechia,2016,82.5,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,CZ,Czechia,2017,81.8,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,CZ,Czechia,2018,81.7,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,CZ,Czechia,2019,81.1,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,CZ,Czechia,2020,81.7,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,CZ,Czechia,2021,81.3,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,CZ,Czechia,2022,76.9,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,CZ,Czechia,2023,79.1,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,DK,Denmark,2000,82.7,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,DK,Denmark,2001,82.7,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,DK,Denmark,2002,84.9,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,DK,Denmark,2003,87.2,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,DK,Denmark,2004,89.2,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,DK,Denmark,2005,83.9,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,DK,Denmark,2006,89.3,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,DK,Denmark,2007,83.5,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,DK,Denmark,2008,78.6,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,DK,Denmark,2009,72.9,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,DK,Denmark,2010,91.4,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,DK,Denmark,2011,82.4,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,DK,Denmark,2012,89.7,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,DK,Denmark,2013,93.9,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,DK,Denmark,2014,94.6,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,DK,Denmark,2015,95.5,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,DK,Denmark,2016,91.3,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,DK,Denmark,2017,93,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,DK,Denmark,2018,92.2,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,DK,Denmark,2019,94,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,DK,Denmark,2020,93.3,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,DK,Denmark,2021,95.9,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,DK,Denmark,2022,97.5,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,DK,Denmark,2023,94.4,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,DE,Germany,2000,77.6,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,DE,Germany,2001,80.5,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,DE,Germany,2002,79.7,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,DE,Germany,2003,81.6,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,DE,Germany,2004,83.9,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,DE,Germany,2005,82.8,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,DE,Germany,2006,79.8,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,DE,Germany,2007,77.7,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,DE,Germany,2008,81.8,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,DE,Germany,2009,81.2,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,DE,Germany,2010,78.1,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,DE,Germany,2011,90.3,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,DE,Germany,2012,89.7,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,DE,Germany,2013,92,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,DE,Germany,2014,92.2,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,DE,Germany,2015,93,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,DE,Germany,2016,92.8,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,DE,Germany,2017,93,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,DE,Germany,2018,94.1,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,DE,Germany,2019,93.7,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,DE,Germany,2020,91.1,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,DE,Germany,2021,91.5,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,DE,Germany,2022,90.9,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,DE,Germany,2023,90.8,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EE,Estonia,2000,,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EE,Estonia,2001,,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EE,Estonia,2002,,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EE,Estonia,2003,,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EE,Estonia,2004,53.3,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EE,Estonia,2005,57.9,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EE,Estonia,2006,81.6,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EE,Estonia,2007,68.4,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EE,Estonia,2008,75,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EE,Estonia,2009,67.9,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EE,Estonia,2010,71.4,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EE,Estonia,2011,92.9,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EE,Estonia,2012,88.9,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EE,Estonia,2013,85.2,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EE,Estonia,2014,85.2,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EE,Estonia,2015,85.2,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EE,Estonia,2016,81.5,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EE,Estonia,2017,74.1,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EE,Estonia,2018,77.8,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EE,Estonia,2019,74.1,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EE,Estonia,2020,74.3,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EE,Estonia,2021,80,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EE,Estonia,2022,82.9,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EE,Estonia,2023,82.9,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,IE,Ireland,2000,88.9,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,IE,Ireland,2001,88.9,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,IE,Ireland,2002,100,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,IE,Ireland,2003,100,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,IE,Ireland,2004,88.9,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,IE,Ireland,2005,77.8,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,IE,Ireland,2006,77.8,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,IE,Ireland,2007,66.7,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,IE,Ireland,2008,44.4,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,IE,Ireland,2009,66.7,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,IE,Ireland,2010,55.6,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,IE,Ireland,2011,66.7,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,IE,Ireland,2012,77.8,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,IE,Ireland,2013,77.8,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,IE,Ireland,2014,88.9,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,IE,Ireland,2015,88.9,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,IE,Ireland,2016,88.9,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,IE,Ireland,2017,88.9,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,IE,Ireland,2018,88.9,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,IE,Ireland,2019,88.9,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,IE,Ireland,2020,88.9,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,IE,Ireland,2021,88.9,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,IE,Ireland,2022,88.9,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,IE,Ireland,2023,88.9,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EL,Greece,2000,100,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EL,Greece,2001,50,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EL,Greece,2002,100,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EL,Greece,2003,75,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EL,Greece,2004,100,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EL,Greece,2005,100,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EL,Greece,2006,66.7,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EL,Greece,2007,50,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EL,Greece,2008,100,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EL,Greece,2009,66.7,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,EL,Greece,2010,83.3,
