eu_sdg,dimension,dimension_label,unit,unit_label,geo,geo_label,time,obs_value,obs_status
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,CZ,Czechia,2003,,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,CZ,Czechia,2004,,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,CZ,Czechia,2005,,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,CZ,Czechia,2006,,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,CZ,Czechia,2007,,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,CZ,Czechia,2008,,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,CZ,Czechia,2009,,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,CZ,Czechia,2010,,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,CZ,Czechia,2011,,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,CZ,Czechia,2012,,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,CZ,Czechia,2013,,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,CZ,Czechia,2014,,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,CZ,Czechia,2015,,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,CZ,Czechia,2016,,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,CZ,Czechia,2017,,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,CZ,Czechia,2018,,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,CZ,Czechia,2019,,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,CZ,Czechia,2020,,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,CZ,Czechia,2021,,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,CZ,Czechia,2022,,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,CZ,Czechia,2023,,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,DK,Denmark,2000,87.8,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,DK,Denmark,2001,88.1,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,DK,Denmark,2002,86,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,DK,Denmark,2003,91.8,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,DK,Denmark,2004,93,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,DK,Denmark,2005,91,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,DK,Denmark,2006,84.4,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,DK,Denmark,2007,81,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,DK,Denmark,2008,80,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,DK,Denmark,2009,74.4,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,DK,Denmark,2010,77.6,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,DK,Denmark,2011,65,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,DK,Denmark,2012,71.1,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,DK,Denmark,2013,75.2,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,DK,Denmark,2014,77.3,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,DK,Denmark,2015,84.5,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,DK,Denmark,2016,85.2,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,DK,Denmark,2017,85.9,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,DK,Denmark,2018,86.8,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,DK,Denmark,2019,87.6,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,DK,Denmark,2020,90.4,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,DK,Denmark,2021,91.4,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,DK,Denmark,2022,93.9,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,DK,Denmark,2023,93.9,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,DE,Germany,2000,85.8,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,DE,Germany,2001,86.7,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,DE,Germany,2002,79.8,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,DE,Germany,2003,80.3,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,DE,Germany,2004,86.2,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,DE,Germany,2005,86.6,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,DE,Germany,2006,84.7,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,DE,Germany,2007,75.5,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,DE,Germany,2008,75.6,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,DE,Germany,2009,81,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,DE,Germany,2010,80.5,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,DE,Germany,2011,75.3,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,DE,Germany,2012,79.5,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,DE,Germany,2013,79,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,DE,Germany,2014,78.8,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,DE,Germany,2015,76.3,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,DE,Germany,2016,80.4,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,DE,Germany,2017,82.8,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,DE,Germany,2018,85.5,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,DE,Germany,2019,86.7,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,DE,Germany,2020,83.5,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,DE,Germany,2021,84.6,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,DE,Germany,2022,86.5,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,DE,Germany,2023,87.6,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,EE,Estonia,2000,,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,EE,Estonia,2001,,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,EE,Estonia,2002,,
