DATAFLOW,LAST UPDATE,freq,indic_env,hazard,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Significant acute environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2012,8.2,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Significant acute environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2013,8.2,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Significant acute environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2014,8,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Significant acute environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2015,8.7,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Significant acute environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2016,8.5,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Significant acute environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2017,9.2,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Significant acute environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2018,8.3,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Significant acute environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2019,8.3,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Significant acute environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2020,7.8,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Significant acute environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2021,7.9,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Significant acute environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2022,7.4,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Significant acute environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2023,6.4,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Significant chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2004,26.3,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Significant chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2005,31.5,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Significant chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2006,30.2,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Significant chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2007,31.6,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Significant chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2008,38.5,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Significant chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2009,25.5,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Significant chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2010,31.4,
